wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  2.524000E+02,  7.424474E-08,  5.197132E-12,  3.247500E+03,  7.000000E-05
  2.568000E+02,  9.891007E-08,  6.923705E-12,  3.250000E+03,  1.100000E-04
  2.600000E+02,  1.598853E-07,  1.119197E-11,  3.252500E+03,  1.500000E-04
  2.640000E+02,  2.546645E-07,  1.782652E-11,  3.255000E+03,  2.000000E-04
  2.685000E+02,  3.875416E-07,  2.712791E-11,  3.257500E+03,  2.800000E-04
  2.735000E+02,  5.106340E-07,  3.574438E-11,  3.260000E+03,  3.800000E-04
  2.785000E+02,  5.953758E-07,  4.167631E-11,  3.262500E+03,  5.200000E-04
  2.840000E+02,  1.223946E-06,  8.567625E-11,  3.265000E+03,  6.900000E-04
  2.900000E+02,  1.701634E-06,  1.191144E-10,  3.267500E+03,  9.100000E-04
  2.960000E+02,  2.118718E-06,  1.483103E-10,  3.270000E+03,  1.180000E-03
  3.010000E+02,  3.371803E-06,  2.360262E-10,  3.272500E+03,  1.490000E-03
  3.080000E+02,  6.893082E-06,  4.825157E-10,  3.275000E+03,  1.870000E-03
  3.180000E+02,  1.477734E-05,  1.034414E-09,  3.277500E+03,  2.340000E-03
  3.280000E+02,  2.038104E-05,  1.426673E-09,  3.280000E+03,  2.890000E-03
  3.380000E+02,  3.559742E-05,  2.491819E-09,  3.282500E+03,  3.520000E-03
  3.480000E+02,  5.243180E-05,  3.670226E-09,  3.285000E+03,  4.230000E-03
  3.570000E+02,  9.987256E-05,  6.991080E-09,  3.287500E+03,  5.090000E-03
  3.660000E+02,  2.129589E-04,  1.490713E-08,  3.290000E+03,  6.060000E-03
  3.750000E+02,  2.385770E-04,  1.670039E-08,  3.292500E+03,  7.100000E-03
  3.850000E+02,  3.335913E-04,  2.335139E-08,  3.295000E+03,  8.270000E-03
  3.950000E+02,  6.308395E-04,  4.415877E-08,  3.297500E+03,  9.570000E-03
  4.050000E+02,  7.896928E-04,  5.527850E-08,  3.300000E+03,  1.099000E-02
  4.140000E+02,  9.819788E-04,  6.873852E-08,  3.302500E+03,  1.252000E-02
  4.220000E+02,  1.046176E-03,  7.323234E-08,  3.305000E+03,  1.416000E-02
  4.300000E+02,  1.085500E-03,  7.598502E-08,  3.307500E+03,  1.594000E-02
  4.410000E+02,  1.277953E-03,  8.945673E-08,  3.310000E+03,  1.784000E-02
  4.510000E+02,  1.393396E-03,  9.753773E-08,  3.312500E+03,  1.980000E-02
  4.600000E+02,  1.358832E-03,  9.511826E-08,  3.315000E+03,  2.187000E-02
  4.700000E+02,  1.540712E-03,  1.078499E-07,  3.317500E+03,  2.406000E-02
  4.800000E+02,  1.753769E-03,  1.227639E-07,  3.320000E+03,  2.631000E-02
  4.900000E+02,  1.681062E-03,  1.176743E-07,  3.322500E+03,  2.863000E-02
  5.000000E+02,  2.108435E-03,  1.475904E-07,  3.325000E+03,  3.101000E-02
  5.060000E+02,  2.689963E-03,  1.882974E-07,  3.327500E+03,  3.347000E-02
  5.120000E+02,  1.581410E-02,  1.106987E-06,  3.330000E+03,  3.599000E-02
  5.200000E+02,  1.462702E-02,  1.023891E-06,  3.332500E+03,  3.855000E-02
  5.300000E+02,  1.309185E-02,  9.164297E-07,  3.335000E+03,  4.117000E-02
  5.400000E+02,  1.237236E-02,  8.660656E-07,  3.337500E+03,  4.384000E-02
  5.500000E+02,  1.298378E-02,  9.088649E-07,  3.340000E+03,  4.654000E-02
  5.600000E+02,  1.712587E-02,  1.198811E-06,  3.342500E+03,  4.925000E-02
  5.700000E+02,  1.881815E-02,  1.317271E-06,  3.345000E+03,  5.199000E-02
  5.800000E+02,  1.741418E-02,  1.218992E-06,  3.347500E+03,  5.474000E-02
  5.900000E+02,  1.814738E-02,  1.270317E-06,  3.350000E+03,  5.748000E-02
  6.000000E+02,  1.302164E-02,  9.115148E-07,  3.352500E+03,  6.018000E-02
  6.100000E+02,  1.630579E-02,  1.141406E-06,  3.355000E+03,  6.289000E-02
  6.200000E+02,  2.012182E-02,  1.408528E-06,  3.357500E+03,  6.558000E-02
  6.300000E+02,  1.936705E-02,  1.355694E-06,  3.360000E+03,  6.828000E-02
  6.400000E+02,  1.970092E-02,  1.379065E-06,  3.362500E+03,  7.099000E-02
  6.500000E+02,  1.872400E-02,  1.310680E-06,  3.365000E+03,  7.368000E-02
  6.580000E+02,  1.410996E-02,  9.876970E-07,  3.367500E+03,  7.636000E-02
  6.650000E+02,  1.791363E-02,  1.253954E-06,  3.370000E+03,  7.898000E-02
  6.750000E+02,  2.064994E-02,  1.445496E-06,  3.372500E+03,  8.158000E-02
  6.850000E+02,  1.612931E-02,  1.129052E-06,  3.375000E+03,  8.413000E-02
