wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  2.524000E+02,  7.688644E-08,  0.000000E+00,  8.459750E+03,  0.000000E+00
  2.568000E+02,  1.024027E-07,  0.000000E+00,  8.460000E+03,  4.909883E-01
  2.600000E+02,  1.655383E-07,  0.000000E+00,  8.460250E+03,  4.912188E-01
  2.640000E+02,  2.638150E-07,  0.000000E+00,  8.460500E+03,  4.914464E-01
  2.685000E+02,  4.014185E-07,  0.000000E+00,  8.460750E+03,  4.916710E-01
  2.735000E+02,  5.286067E-07,  0.000000E+00,  8.461000E+03,  4.918928E-01
  2.785000E+02,  6.157611E-07,  0.000000E+00,  8.461250E+03,  4.921117E-01
  2.840000E+02,  1.264005E-06,  0.000000E+00,  8.461500E+03,  4.923277E-01
  2.900000E+02,  1.756325E-06,  0.000000E+00,  8.461750E+03,  4.925407E-01
  2.960000E+02,  2.184999E-06,  0.000000E+00,  8.462000E+03,  4.927509E-01
  3.010000E+02,  3.483827E-06,  0.000000E+00,  8.462250E+03,  4.929582E-01
  3.080000E+02,  7.092354E-06,  0.000000E+00,  8.462500E+03,  4.931625E-01
  3.180000E+02,  1.521685E-05,  0.000000E+00,  8.462750E+03,  4.933639E-01
  3.280000E+02,  2.096827E-05,  0.000000E+00,  8.463000E+03,  4.935625E-01
  3.380000E+02,  3.662025E-05,  0.000000E+00,  8.463250E+03,  4.937581E-01
  3.480000E+02,  5.391013E-05,  0.000000E+00,  8.463500E+03,  4.939509E-01
  3.570000E+02,  1.025569E-04,  0.000000E+00,  8.463750E+03,  4.941407E-01
  3.660000E+02,  2.187878E-04,  0.000000E+00,  8.464000E+03,  4.943277E-01
  3.750000E+02,  2.448305E-04,  0.000000E+00,  8.464250E+03,  4.945117E-01
  3.850000E+02,  3.420209E-04,  0.000000E+00,  8.464500E+03,  4.946929E-01
  3.950000E+02,  6.470371E-04,  0.000000E+00,  8.464750E+03,  4.948711E-01
  4.050000E+02,  8.098545E-04,  0.000000E+00,  8.465000E+03,  4.950464E-01
  4.140000E+02,  1.005586E-03,  0.000000E+00,  8.465250E+03,  4.952188E-01
  4.220000E+02,  1.070762E-03,  0.000000E+00,  8.465500E+03,  4.953884E-01
  4.300000E+02,  1.109573E-03,  0.000000E+00,  8.465750E+03,  4.955550E-01
  4.410000E+02,  1.305357E-03,  0.000000E+00,  8.466000E+03,  4.957187E-01
  4.510000E+02,  1.422354E-03,  0.000000E+00,  8.466250E+03,  4.958795E-01
  4.600000E+02,  1.385442E-03,  0.000000E+00,  8.466500E+03,  4.960374E-01
  4.700000E+02,  1.569521E-03,  0.000000E+00,  8.466750E+03,  4.961925E-01
  4.800000E+02,  1.786000E-03,  0.000000E+00,  8.467000E+03,  4.963445E-01
  4.900000E+02,  1.708983E-03,  0.000000E+00,  8.467250E+03,  4.964938E-01
  5.000000E+02,  2.143726E-03,  0.000000E+00,  8.467500E+03,  4.966401E-01
  5.060000E+02,  2.725191E-03,  0.000000E+00,  8.467750E+03,  4.967834E-01
  5.120000E+02,  1.595036E-02,  0.000000E+00,  8.468000E+03,  4.969240E-01
  5.200000E+02,  1.475016E-02,  0.000000E+00,  8.468250E+03,  4.970615E-01
  5.300000E+02,  1.319912E-02,  0.000000E+00,  8.468500E+03,  4.971962E-01
  5.400000E+02,  1.246996E-02,  0.000000E+00,  8.468750E+03,  4.973280E-01
  5.500000E+02,  1.306768E-02,  0.000000E+00,  8.469000E+03,  4.974569E-01
  5.600000E+02,  1.724246E-02,  0.000000E+00,  8.469250E+03,  4.975829E-01
  5.700000E+02,  1.895191E-02,  0.000000E+00,  8.469500E+03,  4.977059E-01
  5.800000E+02,  1.754293E-02,  0.000000E+00,  8.469750E+03,  4.978261E-01
  5.900000E+02,  1.827402E-02,  0.000000E+00,  8.470000E+03,  4.979434E-01
  6.000000E+02,  1.310962E-02,  0.000000E+00,  8.470250E+03,  4.980578E-01
  6.100000E+02,  1.640111E-02,  0.000000E+00,  8.470500E+03,  4.981692E-01
  6.200000E+02,  2.024800E-02,  0.000000E+00,  8.470750E+03,  4.982778E-01
  6.300000E+02,  1.948560E-02,  0.000000E+00,  8.471000E+03,  4.983835E-01
  6.400000E+02,  1.983269E-02,  0.000000E+00,  8.471250E+03,  4.984862E-01
  6.500000E+02,  1.884211E-02,  0.000000E+00,  8.471500E+03,  4.985861E-01
  6.580000E+02,  1.419692E-02,  0.000000E+00,  8.471750E+03,  4.986830E-01
