wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  2.524000E+02,  1.209238E-10,  8.464668E-15,  3.245000E+03,  7.000000E-05
  2.568000E+02,  2.103968E-10,  1.472778E-14,  3.247500E+03,  1.300000E-04
  2.600000E+02,  3.166649E-10,  2.216655E-14,  3.250000E+03,  2.300000E-04
  2.640000E+02,  4.914782E-10,  3.440348E-14,  3.252500E+03,  3.200000E-04
  2.685000E+02,  8.479725E-10,  5.935808E-14,  3.255000E+03,  4.000000E-04
  2.735000E+02,  1.504681E-09,  1.053277E-13,  3.257500E+03,  5.000000E-04
  2.785000E+02,  2.589525E-09,  1.812668E-13,  3.260000E+03,  6.800000E-04
  2.840000E+02,  4.400595E-09,  3.080417E-13,  3.262500E+03,  9.700000E-04
  2.900000E+02,  7.951177E-09,  5.565824E-13,  3.265000E+03,  1.410000E-03
  2.960000E+02,  1.427841E-08,  9.994884E-13,  3.267500E+03,  2.000000E-03
  3.010000E+02,  2.245719E-08,  1.572003E-12,  3.270000E+03,  2.680000E-03
  3.080000E+02,  3.455458E-08,  2.418821E-12,  3.272500E+03,  3.330000E-03
  3.180000E+02,  8.182107E-08,  5.727475E-12,  3.275000E+03,  3.890000E-03
  3.280000E+02,  1.789963E-07,  1.252974E-11,  3.277500E+03,  4.490000E-03
  3.380000E+02,  3.848457E-07,  2.693920E-11,  3.280000E+03,  5.470000E-03
  3.480000E+02,  7.656583E-07,  5.359608E-11,  3.282500E+03,  7.040000E-03
  3.570000E+02,  5.735455E-06,  4.014819E-10,  3.285000E+03,  9.250000E-03
  3.660000E+02,  1.481805E-05,  1.037263E-09,  3.287500E+03,  1.202000E-02
  3.750000E+02,  2.181982E-05,  1.527388E-09,  3.290000E+03,  1.503000E-02
  3.850000E+02,  3.769826E-05,  2.638878E-09,  3.292500E+03,  1.794000E-02
  3.950000E+02,  1.099552E-04,  7.696862E-09,  3.295000E+03,  2.075000E-02
  4.050000E+02,  1.577311E-04,  1.104118E-08,  3.297500E+03,  2.361000E-02
  4.140000E+02,  2.601681E-04,  1.821177E-08,  3.300000E+03,  2.660000E-02
  4.220000E+02,  3.332994E-04,  2.333096E-08,  3.302500E+03,  2.981000E-02
  4.300000E+02,  4.574944E-04,  3.202461E-08,  3.305000E+03,  3.329000E-02
  4.410000E+02,  6.518931E-04,  4.563252E-08,  3.307500E+03,  3.699000E-02
  4.510000E+02,  8.420806E-04,  5.894564E-08,  3.310000E+03,  4.122000E-02
  4.600000E+02,  1.043150E-03,  7.302048E-08,  3.312500E+03,  4.643000E-02
  4.700000E+02,  1.422734E-03,  9.959137E-08,  3.315000E+03,  5.239000E-02
  4.800000E+02,  1.848771E-03,  1.294140E-07,  3.317500E+03,  5.874000E-02
  4.900000E+02,  2.397546E-03,  1.678282E-07,  3.320000E+03,  6.513000E-02
  5.000000E+02,  3.034322E-03,  2.124025E-07,  3.322500E+03,  7.133000E-02
  5.060000E+02,  1.107192E-02,  7.750342E-07,  3.325000E+03,  7.721000E-02
  5.120000E+02,  8.315479E-02,  5.820835E-06,  3.327500E+03,  8.281000E-02
  5.200000E+02,  8.371324E-02,  5.859927E-06,  3.330000E+03,  8.826000E-02
  5.300000E+02,  8.698726E-02,  6.089108E-06,  3.332500E+03,  9.370000E-02
  5.400000E+02,  8.507549E-02,  5.955285E-06,  3.335000E+03,  9.891000E-02
  5.500000E+02,  1.282312E-01,  8.976186E-06,  3.337500E+03,  1.039500E-01
  5.600000E+02,  1.567940E-01,  1.097558E-05,  3.340000E+03,  1.092100E-01
  5.700000E+02,  1.735081E-01,  1.214556E-05,  3.342500E+03,  1.148400E-01
  5.800000E+02,  1.563835E-01,  1.094685E-05,  3.345000E+03,  1.207100E-01
  5.900000E+02,  1.985400E-01,  1.389780E-05,  3.347500E+03,  1.265700E-01
  6.000000E+02,  1.884755E-01,  1.319328E-05,  3.350000E+03,  1.322300E-01
  6.100000E+02,  2.361855E-01,  1.653299E-05,  3.352500E+03,  1.376400E-01
  6.200000E+02,  2.646388E-01,  1.852472E-05,  3.355000E+03,  1.428000E-01
  6.300000E+02,  2.731221E-01,  1.911855E-05,  3.357500E+03,  1.477200E-01
  6.400000E+02,  2.463239E-01,  1.724267E-05,  3.360000E+03,  1.523600E-01
  6.500000E+02,  1.996066E-01,  1.397246E-05,  3.362500E+03,  1.568200E-01
