wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  2.524000E+02,  1.209238E-10,  7.255429E-15,  3.245000E+03,  6.000000E-05
  2.568000E+02,  2.103968E-10,  1.262381E-14,  3.247500E+03,  1.000000E-04
  2.600000E+02,  3.166649E-10,  1.899990E-14,  3.250000E+03,  1.700000E-04
  2.640000E+02,  4.914782E-10,  2.948869E-14,  3.252500E+03,  2.500000E-04
  2.685000E+02,  8.479725E-10,  5.087835E-14,  3.255000E+03,  3.200000E-04
  2.735000E+02,  1.504681E-09,  9.028085E-14,  3.257500E+03,  4.000000E-04
  2.785000E+02,  2.589525E-09,  1.553715E-13,  3.260000E+03,  5.400000E-04
  2.840000E+02,  4.400595E-09,  2.640357E-13,  3.262500E+03,  7.900000E-04
  2.900000E+02,  7.951177E-09,  4.770706E-13,  3.265000E+03,  1.170000E-03
  2.960000E+02,  1.427841E-08,  8.567043E-13,  3.267500E+03,  1.680000E-03
  3.010000E+02,  2.245719E-08,  1.347431E-12,  3.270000E+03,  2.280000E-03
  3.080000E+02,  3.455458E-08,  2.073275E-12,  3.272500E+03,  2.850000E-03
  3.180000E+02,  8.182107E-08,  4.909264E-12,  3.275000E+03,  3.370000E-03
  3.280000E+02,  1.789963E-07,  1.073978E-11,  3.277500E+03,  3.940000E-03
  3.380000E+02,  3.848457E-07,  2.309074E-11,  3.280000E+03,  4.850000E-03
  3.480000E+02,  7.656583E-07,  4.593949E-11,  3.282500E+03,  6.310000E-03
  3.570000E+02,  5.735455E-06,  3.441273E-10,  3.285000E+03,  8.390000E-03
  3.660000E+02,  1.481805E-05,  8.890827E-10,  3.287500E+03,  1.102000E-02
  3.750000E+02,  2.181982E-05,  1.309189E-09,  3.290000E+03,  1.392000E-02
  3.850000E+02,  3.769826E-05,  2.261895E-09,  3.292500E+03,  1.679000E-02
  3.950000E+02,  1.099552E-04,  6.597310E-09,  3.295000E+03,  1.963000E-02
  4.050000E+02,  1.577311E-04,  9.463865E-09,  3.297500E+03,  2.256000E-02
  4.140000E+02,  2.601681E-04,  1.561009E-08,  3.300000E+03,  2.568000E-02
  4.220000E+02,  3.332994E-04,  1.999797E-08,  3.302500E+03,  2.908000E-02
  4.300000E+02,  4.574944E-04,  2.744966E-08,  3.305000E+03,  3.280000E-02
  4.410000E+02,  6.518931E-04,  3.911358E-08,  3.307500E+03,  3.680000E-02
  4.510000E+02,  8.420806E-04,  5.052483E-08,  3.310000E+03,  4.141000E-02
  4.600000E+02,  1.043150E-03,  6.258898E-08,  3.312500E+03,  4.709000E-02
  4.700000E+02,  1.422734E-03,  8.536403E-08,  3.315000E+03,  5.365000E-02
  4.800000E+02,  1.848771E-03,  1.109263E-07,  3.317500E+03,  6.071000E-02
  4.900000E+02,  2.397546E-03,  1.438528E-07,  3.320000E+03,  6.795000E-02
  5.000000E+02,  3.034322E-03,  1.820593E-07,  3.322500E+03,  7.511000E-02
  5.060000E+02,  1.107192E-02,  6.643150E-07,  3.325000E+03,  8.204000E-02
  5.120000E+02,  8.315479E-02,  4.989287E-06,  3.327500E+03,  8.878000E-02
  5.200000E+02,  8.371324E-02,  5.022794E-06,  3.330000E+03,  9.547000E-02
  5.300000E+02,  8.698726E-02,  5.219236E-06,  3.332500E+03,  1.022300E-01
  5.400000E+02,  8.507549E-02,  5.104529E-06,  3.335000E+03,  1.088600E-01
  5.500000E+02,  1.282312E-01,  7.693874E-06,  3.337500E+03,  1.153900E-01
  5.600000E+02,  1.567940E-01,  9.407637E-06,  3.340000E+03,  1.222500E-01
  5.700000E+02,  1.735081E-01,  1.041048E-05,  3.342500E+03,  1.296000E-01
  5.800000E+02,  1.563835E-01,  9.383012E-06,  3.345000E+03,  1.373800E-01
  5.900000E+02,  1.985400E-01,  1.191240E-05,  3.347500E+03,  1.452200E-01
  6.000000E+02,  1.884755E-01,  1.130853E-05,  3.350000E+03,  1.529200E-01
  6.100000E+02,  2.361855E-01,  1.417113E-05,  3.352500E+03,  1.604400E-01
  6.200000E+02,  2.646388E-01,  1.587833E-05,  3.355000E+03,  1.677700E-01
