wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  2.524000E+02,  0.000000E+00,  0.000000E+00,  8.459750E+03,  0.000000E+00
  2.568000E+02,  0.000000E+00,  0.000000E+00,  8.460000E+03,  4.909883E-01
  2.600000E+02,  0.000000E+00,  0.000000E+00,  8.460250E+03,  4.912188E-01
  2.640000E+02,  2.676655E-18,  0.000000E+00,  8.460500E+03,  4.914464E-01
  2.685000E+02,  1.234425E-17,  0.000000E+00,  8.460750E+03,  4.916710E-01
  2.735000E+02,  4.161229E-17,  0.000000E+00,  8.461000E+03,  4.918928E-01
  2.785000E+02,  1.145910E-16,  0.000000E+00,  8.461250E+03,  4.921117E-01
  2.840000E+02,  3.051954E-16,  0.000000E+00,  8.461500E+03,  4.923277E-01
  2.900000E+02,  8.276381E-16,  0.000000E+00,  8.461750E+03,  4.925407E-01
  2.960000E+02,  2.071034E-15,  0.000000E+00,  8.462000E+03,  4.927509E-01
  3.010000E+02,  4.260040E-15,  0.000000E+00,  8.462250E+03,  4.929582E-01
  3.080000E+02,  1.088579E-14,  0.000000E+00,  8.462500E+03,  4.931625E-01
  3.180000E+02,  3.849327E-14,  0.000000E+00,  8.462750E+03,  4.933639E-01
  3.280000E+02,  1.221370E-13,  0.000000E+00,  8.463000E+03,  4.935625E-01
  3.380000E+02,  3.593137E-13,  0.000000E+00,  8.463250E+03,  4.937581E-01
  3.480000E+02,  9.787854E-13,  0.000000E+00,  8.463500E+03,  4.939509E-01
  3.570000E+02,  2.267127E-12,  0.000000E+00,  8.463750E+03,  4.941407E-01
  3.660000E+02,  5.086632E-12,  0.000000E+00,  8.464000E+03,  4.943277E-01
  3.750000E+02,  1.082011E-11,  0.000000E+00,  8.464250E+03,  4.945117E-01
  3.850000E+02,  2.399608E-11,  0.000000E+00,  8.464500E+03,  4.946929E-01
  3.950000E+02,  5.057817E-11,  0.000000E+00,  8.464750E+03,  4.948711E-01
  4.050000E+02,  1.027249E-10,  0.000000E+00,  8.465000E+03,  4.950464E-01
  4.140000E+02,  1.884684E-10,  0.000000E+00,  8.465250E+03,  4.952188E-01
  4.220000E+02,  3.137293E-10,  0.000000E+00,  8.465500E+03,  4.953884E-01
  4.300000E+02,  5.110809E-10,  0.000000E+00,  8.465750E+03,  4.955550E-01
  4.410000E+02,  9.769535E-10,  0.000000E+00,  8.466000E+03,  4.957187E-01
  4.510000E+02,  1.706683E-09,  0.000000E+00,  8.466250E+03,  4.958795E-01
  4.600000E+02,  2.746105E-09,  0.000000E+00,  8.466500E+03,  4.960374E-01
  4.700000E+02,  4.559517E-09,  0.000000E+00,  8.466750E+03,  4.961925E-01
  4.800000E+02,  7.384730E-09,  0.000000E+00,  8.467000E+03,  4.963445E-01
  4.900000E+02,  1.172022E-08,  0.000000E+00,  8.467250E+03,  4.964938E-01
  5.000000E+02,  1.822279E-08,  0.000000E+00,  8.467500E+03,  4.966401E-01
  5.060000E+02,  1.958694E-07,  0.000000E+00,  8.467750E+03,  4.967834E-01
  5.120000E+02,  9.774746E-07,  0.000000E+00,  8.468000E+03,  4.969240E-01
  5.200000E+02,  1.277023E-06,  0.000000E+00,  8.468250E+03,  4.970615E-01
  5.300000E+02,  1.889415E-06,  0.000000E+00,  8.468500E+03,  4.971962E-01
  5.400000E+02,  2.246259E-06,  0.000000E+00,  8.468750E+03,  4.973280E-01
  5.500000E+02,  3.488427E-06,  0.000000E+00,  8.469000E+03,  4.974569E-01
  5.600000E+02,  4.474341E-06,  0.000000E+00,  8.469250E+03,  4.975829E-01
  5.700000E+02,  5.993635E-06,  0.000000E+00,  8.469500E+03,  4.977059E-01
  5.800000E+02,  6.646059E-06,  0.000000E+00,  8.469750E+03,  4.978261E-01
  5.900000E+02,  9.563742E-06,  0.000000E+00,  8.470000E+03,  4.979434E-01
  6.000000E+02,  1.246168E-05,  0.000000E+00,  8.470250E+03,  4.980578E-01
  6.100000E+02,  1.608705E-05,  0.000000E+00,  8.470500E+03,  4.981692E-01
  6.200000E+02,  1.929589E-05,  0.000000E+00,  8.470750E+03,  4.982778E-01
  6.300000E+02,  2.353383E-05,  0.000000E+00,  8.471000E+03,  4.983835E-01
  6.400000E+02,  2.695561E-05,  0.000000E+00,  8.471250E+03,  4.984862E-01
  6.500000E+02,  2.994566E-05,  0.000000E+00,  8.471500E+03,  4.985861E-01
  6.580000E+02,  3.904855E-05,  0.000000E+00,  8.471750E+03,  4.986830E-01
  6.650000E+02,  4.303502E-05,  0.000000E+00,  8.472000E+03,  4.987771E-01
  6.750000E+02,  4.960562E-05,  0.000000E+00,  8.472250E+03,  4.988682E-01
  6.850000E+02,  5.777515E-05,  0.000000E+00,  8.472500E+03,  4.989565E-01
  6.950000E+02,  7.056471E-05,  0.000000E+00,  8.472750E+03,  4.990418E-01
  7.050000E+02,  8.046820E-05,  0.000000E+00,  8.473000E+03,  4.991242E-01
  7.160000E+02,  9.505431E-05,  0.000000E+00,  8.473250E+03,  4.992038E-01
  7.260000E+02,  1.077404E-04,  0.000000E+00,  8.473500E+03,  4.992804E-01
  7.350000E+02,  1.211344E-04,  0.000000E+00,  8.473750E+03,  4.993541E-01
  7.450000E+02,  1.416322E-04,  0.000000E+00,  8.474000E+03,  4.994250E-01
  7.550000E+02,  1.621240E-04,  0.000000E+00,  8.474250E+03,  4.994929E-01
  7.650000E+02,  1.840496E-04,  0.000000E+00,  8.474500E+03,  4.995579E-01
  7.750000E+02,  2.096169E-04,  0.000000E+00,  8.474750E+03,  4.996200E-01
  7.850000E+02,  2.365617E-04,  0.000000E+00,  8.475000E+03,  4.996792E-01
  7.950000E+02,  2.606722E-04,  0.000000E+00,  8.475250E+03,  4.997355E-01
  8.050000E+02,  2.903354E-04,  0.000000E+00,  8.475500E+03,  4.997889E-01
  8.150000E+02,  3.197140E-04,  0.000000E+00,  8.475750E+03,  4.998395E-01
  8.250000E+02,  3.597868E-04,  0.000000E+00,  8.476000E+03,  4.998870E-01
  8.350000E+02,  3.777250E-04,  0.000000E+00,  8.476250E+03,  4.999318E-01
  8.450000E+02,  4.259941E-04,  0.000000E+00,  8.476500E+03,  4.999736E-01
  8.550000E+02,  4.692175E-04,  0.000000E+00,  8.476750E+03,  5.000125E-01
  8.650000E+02,  5.179139E-04,  0.000000E+00,  8.477000E+03,  5.000485E-01
  8.750000E+02,  5.712811E-04,  0.000000E+00,  8.477250E+03,  5.000815E-01
  8.850000E+02,  6.360081E-04,  0.000000E+00,  8.477500E+03,  5.001117E-01
  8.950000E+02,  6.929877E-04,  0.000000E+00,  8.477750E+03,  5.001390E-01
  9.050000E+02,  7.212462E-04,  0.000000E+00,  8.478000E+03,  5.001634E-01
  9.150000E+02,  1.346180E-03,  0.000000E+00,  8.478250E+03,  5.001849E-01
  9.250000E+02,  6.475273E-03,  0.000000E+00,  8.478500E+03,  5.002034E-01
  9.350000E+02,  2.082252E-02,  0.000000E+00,  8.478750E+03,  5.002191E-01
  9.450000E+02,  8.117304E-02,  0.000000E+00,  8.479000E+03,  5.002319E-01
  9.550000E+02,  1.674266E-01,  0.000000E+00,  8.479250E+03,  5.002418E-01
  9.650000E+02,  2.392748E-01,  0.000000E+00,  8.479500E+03,  5.002487E-01
  9.750000E+02,  3.651835E-02,  0.000000E+00,  8.479750E+03,  5.002528E-01
  9.850000E+02,  2.873589E-01,  0.000000E+00,  8.480000E+03,  5.002539E-01
  9.950000E+02,  2.770167E-01,  0.000000E+00,  8.480250E+03,  5.002522E-01
  1.005000E+03,  3.442486E-01,  0.000000E+00,  8.480500E+03,  5.002475E-01
  1.015000E+03,  3.151888E-01,  0.000000E+00,  8.480750E+03,  5.002400E-01
  1.025000E+03,  6.006550E-02,  0.000000E+00,  8.481000E+03,  5.002295E-01
  1.035000E+03,  1.901383E-01,  0.000000E+00,  8.481250E+03,  5.002162E-01
  1.045000E+03,  4.440164E-01,  0.000000E+00,  8.481500E+03,  5.001999E-01
  1.055000E+03,  4.285412E-01,  0.000000E+00,  8.481750E+03,  5.001807E-01
  1.065000E+03,  3.290471E-01,  0.000000E+00,  8.482000E+03,  5.001587E-01
  1.075000E+03,  4.176050E-01,  0.000000E+00,  8.482250E+03,  5.001337E-01
  1.085000E+03,  3.683553E-01,  0.000000E+00,  8.482500E+03,  5.001059E-01
  1.095000E+03,  4.301656E-01,  0.000000E+00,  8.482750E+03,  5.000750E-01
  1.105000E+03,  3.466297E-01,  0.000000E+00,  8.483000E+03,  5.000414E-01
  1.115000E+03,  3.122588E-01,  0.000000E+00,  8.483250E+03,  5.000048E-01
  1.125000E+03,  3.136122E-01,  0.000000E+00,  8.483500E+03,  4.999653E-01
  1.135000E+03,  4.213734E-01,  0.000000E+00,  8.483750E+03,  4.999230E-01
  1.145000E+03,  3.559654E-01,  0.000000E+00,  8.484000E+03,  4.998777E-01
  1.155000E+03,  3.893539E-01,  0.000000E+00,  8.484250E+03,  4.998295E-01
  1.165000E+03,  4.110679E-01,  0.000000E+00,  8.484500E+03,  4.997784E-01
  1.175000E+03,  3.079223E-01,  0.000000E+00,  8.484750E+03,  4.997244E-01
  1.185000E+03,  4.098001E-01,  0.000000E+00,  8.485000E+03,  4.996675E-01
  1.195000E+03,  2.115724E-01,  0.000000E+00,  8.485250E+03,  4.996077E-01
  1.205000E+03,  9.780502E-02,  0.000000E+00,  8.485500E+03,  4.995450E-01
  1.215000E+03,  5.042734E-02,  0.000000E+00,  8.485750E+03,  4.994794E-01
  1.225000E+03,  1.989480E-01,  0.000000E+00,  8.486000E+03,  4.994108E-01
  1.235000E+03,  3.828908E-01,  0.000000E+00,  8.486250E+03,  4.993394E-01
  1.245000E+03,  4.147655E-01,  0.000000E+00,  8.486500E+03,  4.992669E-01
  1.255000E+03,  4.006390E-01,  0.000000E+00,  8.486750E+03,  4.991951E-01
  1.265000E+03,  3.477035E-01,  0.000000E+00,  8.487000E+03,  4.991240E-01
  1.275000E+03,  3.831379E-01,  0.000000E+00,  8.487250E+03,  4.990535E-01
  1.285000E+03,  4.090411E-01,  0.000000E+00,  8.487500E+03,  4.989837E-01
  1.295000E+03,  2.189358E-01,  0.000000E+00,  8.487750E+03,  4.989147E-01
  1.305000E+03,  1.809381E-01,  0.000000E+00,  8.488000E+03,  4.988463E-01
  1.315000E+03,  3.752761E-01,  0.000000E+00,  8.488250E+03,  4.987786E-01
  1.325000E+03,  3.625645E-01,  0.000000E+00,  8.488500E+03,  4.987116E-01
  1.335000E+03,  3.173712E-01,  0.000000E+00,  8.488750E+03,  4.986453E-01
  1.345000E+03,  3.674296E-01,  0.000000E+00,  8.489000E+03,  4.985797E-01
  1.355000E+03,  3.562727E-01,  0.000000E+00,  8.489250E+03,  4.985147E-01
  1.365000E+03,  3.092603E-01,  0.000000E+00,  8.489500E+03,  4.984505E-01
  1.375000E+03,  3.174838E-01,  0.000000E+00,  8.489750E+03,  4.983870E-01
  1.385000E+03,  3.215032E-01,  0.000000E+00,  8.490000E+03,  4.983241E-01
  1.395000E+03,  2.669671E-01,  0.000000E+00,  8.490250E+03,  4.982619E-01
  1.405000E+03,  2.847802E-01,  0.000000E+00,  8.490500E+03,  4.982005E-01
  1.415000E+03,  2.869682E-01,  0.000000E+00,  8.490750E+03,  4.981397E-01
  1.425000E+03,  3.001072E-01,  0.000000E+00,  8.491000E+03,  4.980796E-01
  1.435000E+03,  2.997834E-01,  0.000000E+00,  8.491250E+03,  4.980202E-01
  1.442000E+03,  3.176872E-01,  0.000000E+00,  8.491500E+03,  4.979615E-01
  1.447000E+03,  3.136252E-01,  0.000000E+00,  8.491750E+03,  4.979034E-01
  1.455000E+03,  3.055741E-01,  0.000000E+00,  8.492000E+03,  4.978461E-01
  1.465000E+03,  2.859564E-01,  0.000000E+00,  8.492250E+03,  4.977895E-01
  1.475000E+03,  2.813280E-01,  0.000000E+00,  8.492500E+03,  4.977335E-01
  1.485000E+03,  2.755638E-01,  0.000000E+00,  8.492750E+03,  4.976783E-01
  1.495000E+03,  2.773535E-01,  0.000000E+00,  8.493000E+03,  4.976237E-01
  1.505000E+03,  2.540796E-01,  0.000000E+00,  8.493250E+03,  4.975698E-01
  1.512000E+03,  2.313778E-01,  0.000000E+00,  8.493500E+03,  4.975166E-01
  1.517000E+03,  2.452000E-01,  0.000000E+00,  8.493750E+03,  4.974641E-01
  1.525000E+03,  2.485986E-01,  0.000000E+00,  8.494000E+03,  4.974123E-01
  1.535000E+03,  2.211197E-01,  0.000000E+00,  8.494250E+03,  4.973612E-01
  1.545000E+03,  2.298312E-01,  0.000000E+00,  8.494500E+03,  4.973107E-01
  1.555000E+03,  2.170057E-01,  0.000000E+00,  8.494750E+03,  4.972610E-01
  1.565000E+03,  2.204728E-01,  0.000000E+00,  8.495000E+03,  4.972119E-01
  1.575000E+03,  2.336945E-01,  0.000000E+00,  8.495250E+03,  4.971636E-01
  1.585000E+03,  2.352078E-01,  0.000000E+00,  8.495500E+03,  4.971159E-01
  1.595000E+03,  2.385385E-01,  0.000000E+00,  8.495750E+03,  4.970689E-01
  1.605000E+03,  2.335365E-01,  0.000000E+00,  8.496000E+03,  4.970226E-01
  1.615000E+03,  2.342461E-01,  0.000000E+00,  8.496250E+03,  4.969770E-01
  1.625000E+03,  2.226999E-01,  0.000000E+00,  8.496500E+03,  4.969321E-01
  1.635000E+03,  2.338317E-01,  0.000000E+00,  8.496750E+03,  4.968879E-01
  1.645000E+03,  2.326400E-01,  0.000000E+00,  8.497000E+03,  4.968444E-01
  1.655000E+03,  2.164374E-01,  0.000000E+00,  8.497250E+03,  4.968015E-01
  1.665000E+03,  2.332910E-01,  0.000000E+00,  8.497500E+03,  4.967594E-01
  1.672000E+03,  2.238025E-01,  0.000000E+00,  8.497750E+03,  4.967179E-01
  1.677000E+03,  2.289414E-01,  0.000000E+00,  8.498000E+03,  4.966771E-01
  1.685000E+03,  2.328669E-01,  0.000000E+00,  8.498250E+03,  4.966370E-01
  1.695000E+03,  2.197616E-01,  0.000000E+00,  8.498500E+03,  4.965977E-01
  1.705000E+03,  2.084167E-01,  0.000000E+00,  8.498750E+03,  4.965590E-01
  1.715000E+03,  1.954783E-01,  0.000000E+00,  8.499000E+03,  4.965210E-01
  1.725000E+03,  1.940454E-01,  0.000000E+00,  8.499250E+03,  4.964837E-01
  1.735000E+03,  2.035702E-01,  0.000000E+00,  8.499500E+03,  4.964470E-01
  1.745000E+03,  1.965042E-01,  0.000000E+00,  8.499750E+03,  4.964111E-01
  1.755000E+03,  2.026210E-01,  0.000000E+00,  8.500000E+03,  4.963758E-01
  1.765000E+03,  1.886568E-01,  0.000000E+00,  8.500250E+03,  4.963413E-01
  1.775000E+03,  1.885700E-01,  0.000000E+00,  8.500500E+03,  4.963074E-01
  1.785000E+03,  1.893946E-01,  0.000000E+00,  8.500750E+03,  4.962742E-01
  1.795000E+03,  1.987513E-01,  0.000000E+00,  8.501000E+03,  4.962417E-01
  1.805000E+03,  1.979720E-01,  0.000000E+00,  8.501250E+03,  4.962099E-01
  1.815000E+03,  1.787779E-01,  0.000000E+00,  8.501500E+03,  4.961788E-01
  1.825000E+03,  1.859869E-01,  0.000000E+00,  8.501750E+03,  4.961484E-01
  1.835000E+03,  1.766802E-01,  0.000000E+00,  8.502000E+03,  4.961187E-01
  1.845000E+03,  1.634752E-01,  0.000000E+00,  8.502250E+03,  4.960897E-01
  1.855000E+03,  1.575563E-01,  0.000000E+00,  8.502500E+03,  4.960613E-01
  1.865000E+03,  1.607254E-01,  0.000000E+00,  8.502750E+03,  4.960337E-01
  1.875000E+03,  1.748765E-01,  0.000000E+00,  8.503000E+03,  4.960067E-01
  1.885000E+03,  1.581825E-01,  0.000000E+00,  8.503250E+03,  4.959804E-01
  1.895000E+03,  1.481826E-01,  0.000000E+00,  8.503500E+03,  4.959548E-01
  1.905000E+03,  1.603736E-01,  0.000000E+00,  8.503750E+03,  4.959300E-01
  1.915000E+03,  1.506112E-01,  0.000000E+00,  8.504000E+03,  4.959058E-01
  1.925000E+03,  1.463005E-01,  0.000000E+00,  8.504250E+03,  4.958822E-01
  1.935000E+03,  1.527526E-01,  0.000000E+00,  8.504500E+03,  4.958594E-01
  1.945000E+03,  1.532560E-01,  0.000000E+00,  8.504750E+03,  4.958373E-01
