wavelengths,fluxes,convolved_flux,filter_wavelengths,filter_trans
  9.003887E+02,  1.241984E-17,  8.693888E-22,  3.247500E+03,  7.000000E-05
  9.012914E+02,  1.680845E-17,  1.176591E-21,  3.250000E+03,  1.100000E-04
  9.021949E+02,  1.785600E-17,  1.249920E-21,  3.252500E+03,  1.500000E-04
  9.030994E+02,  1.829248E-17,  1.280474E-21,  3.255000E+03,  2.000000E-04
  9.040047E+02,  1.871309E-17,  1.309916E-21,  3.257500E+03,  2.800000E-04
  9.049110E+02,  1.922893E-17,  1.346025E-21,  3.260000E+03,  3.800000E-04
  9.058182E+02,  1.975270E-17,  1.382689E-21,  3.262500E+03,  5.200000E-04
  9.067263E+02,  2.025267E-17,  1.417687E-21,  3.265000E+03,  6.900000E-04
  9.076353E+02,  2.076851E-17,  1.453796E-21,  3.267500E+03,  9.100000E-04
  9.085452E+02,  2.129229E-17,  1.490460E-21,  3.270000E+03,  1.180000E-03
  9.094560E+02,  2.182400E-17,  1.527680E-21,  3.272500E+03,  1.490000E-03
  9.103677E+02,  2.237952E-17,  1.566566E-21,  3.275000E+03,  1.870000E-03
  9.112804E+02,  2.297472E-17,  1.608230E-21,  3.277500E+03,  2.340000E-03
  9.121939E+02,  2.378419E-17,  1.664893E-21,  3.280000E+03,  2.890000E-03
  9.131084E+02,  2.602214E-17,  1.821550E-21,  3.282500E+03,  3.520000E-03
  9.140238E+02,  4.727475E-17,  3.309233E-21,  3.285000E+03,  4.230000E-03
  9.149401E+02,  3.647386E-16,  2.553170E-20,  3.287500E+03,  5.090000E-03
  9.158573E+02,  2.359373E-15,  1.651561E-19,  3.290000E+03,  6.060000E-03
  9.167755E+02,  6.867814E-15,  4.807470E-19,  3.292500E+03,  7.100000E-03
  9.176945E+02,  1.155482E-14,  8.088371E-19,  3.295000E+03,  8.270000E-03
  9.186145E+02,  1.541171E-14,  1.078820E-18,  3.297500E+03,  9.570000E-03
  9.195354E+02,  1.945114E-14,  1.361580E-18,  3.300000E+03,  1.099000E-02
  9.204573E+02,  2.229222E-14,  1.560456E-18,  3.302500E+03,  1.252000E-02
  9.213800E+02,  2.630784E-14,  1.841549E-18,  3.305000E+03,  1.416000E-02
  9.223037E+02,  2.910131E-14,  2.037092E-18,  3.307500E+03,  1.594000E-02
  9.232283E+02,  3.137894E-14,  2.196526E-18,  3.310000E+03,  1.784000E-02
