                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     100                                      762                  2.0000000000000000E+000                  1.4000000000000000E-003                  2.1466911408319618E+006                  4.3120126845965635E+004                  8.3775371906424643E+003                  3.3388666926795366E+001                  2.7429631412735662E+000                 -2.8606468532332694E+000                  7.5579688909695508E-001                  2.8906305140337979E-005                  2.4277420011569228E-001                  2.4125494150888167E-004                  7.0755368453068765E-005                  6.5663693453124389E-004                  1.4595170967124808E-004                  1.9999987983785037E+000                 -9.1598634605164311E-013                  1.5115984640355336E+000                  5.2303137236602166E-005                  4.8554803267310276E-001                  4.8256209120158640E-004                  1.4144940300247588E-004                  1.3132730813150133E-003                  2.9190324396378406E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2149346296766569E+004                  1.0285403315799927E+006                  5.9900528606413066E+008                  1.1390391811944957E-001                  1.1390391811944953E-001                  2.1344856652553530E-052                  4.5302362866724089E-003                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.7744420345918719E+013                               "5d9f195f"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250718"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha                              mixing_type                                log_D_mix                               log_D_conv                                log_D_ovr 
                                       1                  1.9999987983785037E+000                  4.3821997178642846E-001                  3.9237558485390540E+000                 -8.6641507867275855E+000                  3.1333664674134796E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  3.7045390403153045E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  9.6354433734837812E+000                  9.5804249987769374E+000                 -9.9000000000000000E+001 
                                       2                  1.9999987983775036E+000                  4.3821540814195820E-001                  3.9250545545974260E+000                 -8.6561922877317734E+000                  3.1433686473663442E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  3.7730541699889535E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  9.6354433734837812E+000                  9.6354433734837812E+000                 -9.9000000000000000E+001 
                                       3                  1.9999987983765037E+000                  4.3821092722524946E-001                  3.9271900363044967E+000                 -8.6441507641549524E+000                  3.1588489046346293E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  3.8791370491422634E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  9.7382458890100789E+000                  9.7382458890100789E+000                 -9.9000000000000000E+001 
                                       4                  1.9999987983743159E+000                  4.3820139280188253E-001                  3.9303449709430911E+000                 -8.6290454313440090E+000                  3.1792377546178554E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.0164389400241747E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  9.9412818321871423E+000                  9.9412818321871423E+000                 -9.9000000000000000E+001 
                                       5                  1.9999987983721284E+000                  4.3819218370133289E-001                  3.9354450249405741E+000                 -8.6091124478387311E+000                  3.2081337835164119E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.2050882272219907E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.0125610257368288E+001                  1.0125610257368288E+001                 -9.9000000000000000E+001 
                                       6                  1.9999987983677536E+000                  4.3817459011279669E-001                  3.9420519891652384E+000                 -8.5920248397772845E+000                  3.2377254436871983E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.3738467339598180E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.0463267623519556E+001                  1.0463267623519556E+001                 -9.9000000000000000E+001 
                                       7                  1.9999987983649412E+000                  4.3816371524466730E-001                  3.9478287668073708E+000                 -8.5818360324493881E+000                  3.2595569743924337E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.4776781828054919E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.0668842744089760E+001                  1.0668842744089760E+001                 -9.9000000000000000E+001 
                                       8                  1.9999987983621288E+000                  4.3815309174913480E-001                  3.9543504071962645E+000                 -8.5750197065143716E+000                  3.2803453704754824E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.5485141155057429E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.0873181813004939E+001                  1.0873181813004939E+001                 -9.9000000000000000E+001 
                                       9                  1.9999987983593164E+000                  4.3814263292796507E-001                  3.9617675117044415E+000                 -8.5721436828030235E+000                  3.3001858460154483E+000                  7.5579999999986514E-001                  2.4280000000013488E-001                  1.3999999999999568E-003                  4.5787371876417901E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                                        1                  1.1078804704749695E+001                  1.1078804704749695E+001                 -9.9000000000000000E+001 
